iter	Passed	Remaining
0	6	3271
1	12	3010
2	16	2803
3	22	2748
4	26	2623
5	33	2731
6	38	2714
7	41	2573
8	47	2581
9	52	2554
10	57	2543
11	63	2576
12	68	2554
13	73	2548
14	78	2551
15	84	2554
16	90	2573
17	97	2618
18	102	2605
19	109	2633
20	114	2612
21	121	2636
22	127	2644
23	133	2645
24	138	2633
25	141	2578
26	147	2575
27	152	2576
28	159	2593
29	162	2551
30	168	2554
31	174	2548
32	179	2547
33	185	2540
34	191	2546
35	197	2539
36	202	2528
37	207	2519
38	211	2504
39	216	2493
40	221	2484
41	226	2469
42	231	2461
43	235	2444
44	241	2437
45	245	2419
46	249	2405
47	255	2403
48	259	2392
49	264	2383
50	269	2371
51	274	2365
52	278	2350
53	282	2335
54	287	2327
55	292	2317
56	298	2321
57	304	2317
58	309	2311
59	313	2301
60	318	2293
61	323	2286
62	328	2280
63	333	2271
64	337	2260
65	342	2254
66	348	2250
67	353	2246
68	358	2239
69	363	2232
70	368	2227
71	373	2221
72	378	2214
73	383	2209
74	389	2205
75	394	2201
76	400	2201
77	406	2198
78	411	2190
79	416	2185
80	420	2172
81	424	2165
82	430	2161
83	434	2152
84	439	2144
85	445	2144
86	450	2138
87	456	2135
88	460	2127
89	465	2120
90	470	2113
91	475	2108
92	480	2104
93	486	2099
94	491	2097
95	496	2090
96	502	2086
97	507	2083
98	513	2079
99	519	2077
100	524	2073
101	529	2065
102	535	2065
103	540	2057
104	545	2051
105	550	2047
106	556	2042
107	560	2035
108	567	2035
109	571	2027
110	576	2021
111	581	2015
112	587	2013
113	593	2008
114	598	2003
115	603	1998
116	608	1992
117	613	1985
118	617	1975
119	622	1970
120	627	1966
121	632	1959
122	636	1951
123	641	1946
124	647	1941
125	652	1937
126	658	1934
127	664	1931
128	669	1926
129	674	1919
130	679	1912
131	683	1906
132	689	1902
133	697	1904
134	704	1905
135	711	1903
136	719	1906
137	726	1904
138	732	1902
139	738	1897
140	743	1891
141	749	1889
142	755	1885
143	760	1880
144	767	1878
145	773	1875
146	779	1872
147	785	1868
148	790	1861
149	795	1857
150	802	1853
151	806	1846
152	812	1841
153	818	1838
154	825	1836
155	829	1830
156	834	1824
157	837	1813
158	840	1803
159	846	1798
160	850	1790
161	855	1785
162	860	1779
163	865	1773
164	870	1766
165	875	1761
166	880	1755
167	885	1749
168	890	1745
169	896	1740
170	901	1734
171	906	1728
172	911	1721
173	916	1717
174	921	1711
175	926	1705
176	932	1701
177	937	1695
178	941	1688
179	947	1684
180	951	1677
181	957	1673
182	962	1666
183	967	1661
184	972	1655
185	977	1649
186	982	1644
187	984	1634
188	991	1632
189	996	1625
190	1002	1621
191	1007	1615
192	1015	1614
193	1023	1614
194	1030	1611
195	1036	1607
196	1042	1602
197	1050	1602
198	1055	1595
199	1062	1594
200	1068	1589
201	1072	1582
202	1076	1574
203	1082	1570
204	1089	1567
205	1093	1560
206	1098	1555
207	1104	1550
208	1110	1545
209	1116	1542
210	1123	1539
211	1129	1533
212	1133	1527
213	1138	1521
214	1144	1516
215	1147	1509
216	1154	1505
217	1160	1500
218	1165	1494
219	1170	1489
220	1175	1484
221	1179	1476
222	1184	1470
223	1189	1466
224	1195	1461
225	1201	1456
226	1206	1451
227	1212	1446
228	1218	1442
229	1224	1437
230	1229	1431
231	1234	1425
232	1239	1420
233	1245	1415
234	1250	1409
235	1255	1404
236	1261	1399
237	1266	1394
238	1272	1389
239	1279	1385
240	1286	1382
241	1292	1377
242	1298	1373
243	1304	1368
244	1310	1364
245	1316	1359
246	1322	1354
247	1327	1349
248	1334	1345
249	1339	1339
250	1345	1334
251	1352	1330
252	1358	1325
253	1364	1321
254	1371	1317
255	1377	1312
256	1383	1308
257	1387	1301
258	1392	1295
259	1397	1289
260	1403	1284
261	1408	1279
262	1413	1273
263	1417	1267
264	1421	1260
265	1426	1255
266	1432	1249
267	1436	1243
268	1442	1238
269	1445	1231
270	1450	1225
271	1456	1220
272	1461	1215
273	1467	1210
274	1471	1204
275	1477	1199
276	1482	1193
277	1487	1187
278	1491	1181
279	1496	1175
280	1499	1168
281	1503	1162
282	1506	1154
283	1513	1150
284	1518	1145
285	1525	1141
286	1529	1135
287	1534	1129
288	1543	1126
289	1548	1121
290	1557	1118
291	1569	1117
292	1576	1113
293	1581	1108
294	1587	1103
295	1592	1097
296	1598	1092
297	1604	1087
298	1610	1082
299	1616	1077
300	1620	1071
301	1625	1065
302	1629	1059
303	1634	1053
304	1640	1048
305	1646	1044
306	1651	1038
307	1657	1033
308	1662	1027
309	1666	1021
310	1671	1015
311	1677	1010
312	1683	1005
313	1686	999
314	1691	993
315	1695	987
316	1698	980
317	1703	974
318	1708	969
319	1713	963
320	1719	958
321	1722	952
322	1727	946
323	1731	940
324	1734	934
325	1740	928
326	1746	924
327	1750	917
328	1755	912
329	1761	907
330	1767	902
331	1773	897
332	1775	890
333	1781	885
334	1784	878
335	1788	872
336	1795	868
337	1797	861
338	1802	856
339	1808	851
340	1814	845
341	1819	840
342	1824	834
343	1831	830
344	1836	825
345	1843	820
346	1848	815
347	1854	809
348	1858	804
349	1864	798
350	1869	793
351	1874	788
352	1879	782
353	1885	777
354	1890	772
355	1896	767
356	1902	761
357	1907	756
358	1913	751
359	1918	746
360	1921	739
361	1926	734
362	1931	728
363	1936	723
364	1941	717
365	1946	712
366	1952	707
367	1955	701
